acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
91020.0,125.0,1.8792944,45.858418,-154.6692,-7.9084845,-3.1307464,6.1033087,-0.46243566,0.7729041,0.4686516,6.227105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91030.0,122.0,1.7465262,46.773144,-154.13344,-8.053184,-2.507929,6.214114,-0.6315687,1.0429894,0.5139733,6.105005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91040.0,119.0,1.589896,47.858295,-153.6162,-7.9218454,-1.761445,6.442014,-0.74665266,1.3437083,0.55037004,5.9829044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91050.0,113.0,1.3547535,49.03729,-153.21115,-7.664257,-0.8442812,6.754038,-0.8307819,1.6082145,0.5199604,5.6166043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91060.0,109.0,1.0555668,50.250282,-152.91516,-7.303965,0.014757228,6.957992,-0.866432,1.8017838,0.44634995,5.372404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91070.0,109.0,0.7206771,51.46451,-152.67085,-7.09108,0.71998936,7.2330484,-0.8916386,1.9270248,0.36256957,5.128204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91080.0,105.0,0.41933614,52.646496,-152.41673,-6.9646664,1.2037458,7.756917,-0.9013999,1.994673,0.31968167,5.0061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91090.0,99.0,0.18273923,53.71118,-152.18137,-7.060915,1.3871187,9.279255,-0.87571716,1.9955432,0.29506108,4.822954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91100.0,99.0,0.0359225,54.521877,-151.99231,-7.1570888,1.480686,11.059401,-0.7757677,1.8568567,0.26012933,4.7008533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91110.0,102.0,-0.027782196,55.041805,-151.82864,-7.525402,1.739458,12.09733,-0.6306515,1.5527512,0.22330047,4.639803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
